,invoice_id,glean_text,glean_type,invoice_date,glean_location,canonical_vendor_id
40,a402e241-1b10-478c-9d0d-ed5fb5d283d5,First new bill in 3.0 months from vendor 10eaea15-03c3-4d52-9120-9fa817ae4fd3,vendor_not_seen_in_a_while,2020-08-17,invoice,10eaea15-03c3-4d52-9120-9fa817ae4fd3
41,d4688382-16e5-4e01-a1cc-cde4323ba535,First new bill in 5.0 months from vendor a6faacb8-8bc2-4f68-9649-2e1977dbf067,vendor_not_seen_in_a_while,2020-12-04,invoice,a6faacb8-8bc2-4f68-9649-2e1977dbf067
42,8117ee79-1404-4622-b1be-1a1e88a595ff,First new bill in 3.0 months from vendor 44ae301b-5ff0-4152-9481-9111527db8be,vendor_not_seen_in_a_while,2020-07-01,invoice,44ae301b-5ff0-4152-9481-9111527db8be
43,fd3222d0-3dd9-488f-96b0-ae9baae3a32d,First new bill in 3.0 months from vendor aaf161af-1b36-4c8a-a622-6ba062853874,vendor_not_seen_in_a_while,2020-04-30,invoice,aaf161af-1b36-4c8a-a622-6ba062853874
44,64a94d7a-b3a2-4944-b0da-7d477a337f40,First new bill in 3.0 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,2019-08-19,invoice,10f69fbc-678c-4af1-8894-4f176c2b276c
45,75eb2429-b5b7-4383-9b61-5881193e0001,First new bill in 6.0 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,2020-02-18,invoice,10f69fbc-678c-4af1-8894-4f176c2b276c
46,59f9fa6d-1441-44e1-a4a3-99c135f54f1b,First new bill in 3.0 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,2020-08-17,invoice,10f69fbc-678c-4af1-8894-4f176c2b276c
47,5c54850a-a897-4e63-b73c-6f9f36b8f506,First new bill in 3.0 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,2020-11-16,invoice,10f69fbc-678c-4af1-8894-4f176c2b276c
48,98a27316-1ed0-4840-af36-608adf011f07,First new bill in 13.0 months from vendor 37a1712d-f876-4282-9221-57b13e19dc9c,vendor_not_seen_in_a_while,2020-09-15,invoice,37a1712d-f876-4282-9221-57b13e19dc9c
49,cb557303-4f35-419d-a0e8-918a1e156fb8,First new bill in 3.0 months from vendor 7409fa50-fde9-4939-8efe-dc73cbd1e9c7,vendor_not_seen_in_a_while,2020-03-03,invoice,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
50,39406d07-caef-4139-ab5d-92cd4fcbb66d,First new bill in 8.0 months from vendor 3d2e310c-a166-42e6-a6d8-fe28f38acbd7,vendor_not_seen_in_a_while,2019-07-18,invoice,3d2e310c-a166-42e6-a6d8-fe28f38acbd7
